title,authors,year,conference,url
Frequentist Uncertainty in Recurrent Neural Networks via Blockwise Influence Functions.,"Ahmed M. Alaa, Mihaela van der Schaar",2020,ICML,http://proceedings.mlr.press/v119/alaa20b.html
Random extrapolation for primal-dual coordinate descent.,"Ahmet Alacaoglu, Olivier Fercoq, Volkan Cevher",2020,ICML,http://proceedings.mlr.press/v119/alacaoglu20a.html
A new regret analysis for Adam-type algorithms.,"Ahmet Alacaoglu, Yura Malitsky, Panayotis Mertikopoulos, Volkan Cevher",2020,ICML,http://proceedings.mlr.press/v119/alacaoglu20b.html
Restarted Bayesian Online Change-point Detector achieves Optimal Detection Delay.,"Réda Alami, Odalric Maillard, Raphaël Féraud",2020,ICML,http://proceedings.mlr.press/v119/alami20a.html
Maximum Likelihood with Bias-Corrected Calibration is Hard-To-Beat at Label Shift Adaptation.,"Amr Alexandari, Anshul Kundaje, Avanti Shrikumar",2020,ICML,http://proceedings.mlr.press/v119/alexandari20a.html
The Implicit Regularization of Stochastic Gradient Flow for Least Squares.,"Alnur Ali, Edgar Dobriban, Ryan J. Tibshirani",2020,ICML,http://proceedings.mlr.press/v119/ali20a.html
Structural Language Models of Code.,"Uri Alon, Roy Sadaka, Omer Levy, Eran Yahav",2020,ICML,http://proceedings.mlr.press/v119/alon20a.html
LowFER: Low-rank Bilinear Pooling for Link Prediction.,"Saadullah Amin, Stalin Varanasi, Katherine Ann Dunfield, Günter Neumann",2020,ICML,http://proceedings.mlr.press/v119/amin20a.html
Discount Factor as a Regularizer in Reinforcement Learning.,"Ron Amit, Ron Meir, Kamil Ciosek",2020,ICML,http://proceedings.mlr.press/v119/amit20a.html
"Neuro-Symbolic Visual Reasoning: Disentangling ""Visual"" from ""Reasoning"".","Saeed Amizadeh, Hamid Palangi, Alex Polozov, Yichen Huang, Kazuhito Koishida",2020,ICML,http://proceedings.mlr.press/v119/amizadeh20a.html
The Differentiable Cross-Entropy Method.,"Brandon Amos, Denis Yarats",2020,ICML,http://proceedings.mlr.press/v119/amos20a.html
Customizing ML Predictions for Online Algorithms.,"Keerti Anand, Rong Ge, Debmalya Panigrahi",2020,ICML,http://proceedings.mlr.press/v119/anand20a.html
Fairwashing explanations with off-manifold detergent.,"Christopher J. Anders, Plamen Pasliev, Ann-Kathrin Dombrowski, Klaus-Robert Müller, Pan Kessel",2020,ICML,http://proceedings.mlr.press/v119/anders20a.html
Population-Based Black-Box Optimization for Biological Sequence Design.,"Christof Angermüller, David Belanger, Andreea Gane, Zelda Mariet, David Dohan, Kevin Murphy, Lucy J. Colwell, D. Sculley",2020,ICML,http://proceedings.mlr.press/v119/angermueller20a.html
Low-loss connection of weight vectors: distribution-based approaches.,"Ivan Anokhin, Dmitry Yarotsky",2020,ICML,http://proceedings.mlr.press/v119/anokhin20a.html
Online metric algorithms with untrusted predictions.,"Antonios Antoniadis, Christian Coester, Marek Eliás, Adam Polak, Bertrand Simon",2020,ICML,http://proceedings.mlr.press/v119/antoniadis20a.html
NADS: Neural Architecture Distribution Search for Uncertainty Awareness.,"Randy Ardywibowo, Shahin Boluki, Xinyu Gong, Zhangyang Wang, Xiaoning Qian",2020,ICML,http://proceedings.mlr.press/v119/ardywibowo20a.html
Provable Representation Learning for Imitation Learning via Bi-level Optimization.,"Sanjeev Arora, Simon S. Du, Sham M. Kakade, Yuping Luo, Nikunj Saunshi",2020,ICML,http://proceedings.mlr.press/v119/arora20a.html
Quantum Boosting.,"Srinivasan Arunachalam, Reevu Maity",2020,ICML,http://proceedings.mlr.press/v119/arunachalam20a.html
Black-box Certification and Learning under Adversarial Perturbations.,"Hassan Ashtiani, Vinayak Pathak, Ruth Urner",2020,ICML,http://proceedings.mlr.press/v119/ashtiani20a.html
Invertible generative models for inverse problems: mitigating representation error and dataset bias.,"Muhammad Asim, Max Daniels, Oscar Leong, Ali Ahmed, Paul Hand",2020,ICML,http://proceedings.mlr.press/v119/asim20a.html
On the Convergence of Nesterov's Accelerated Gradient Method in Stochastic Settings.,"Mahmoud Assran, Mike Rabbat",2020,ICML,http://proceedings.mlr.press/v119/assran20a.html
Safe screening rules for L0-regression from Perspective Relaxations.,"Alper Atamtürk, Andrés Gómez",2020,ICML,http://proceedings.mlr.press/v119/atamturk20a.html
Adversarial Learning Guarantees for Linear Hypotheses and Neural Networks.,"Pranjal Awasthi, Natalie Frank, Mehryar Mohri",2020,ICML,http://proceedings.mlr.press/v119/awasthi20a.html
Sample Amplification: Increasing Dataset Size even when Learning is Impossible.,"Brian Axelrod, Shivam Garg, Vatsal Sharan, Gregory Valiant",2020,ICML,http://proceedings.mlr.press/v119/axelrod20a.html
Sparse Convex Optimization via Adaptively Regularized Hard Thresholding.,"Kyriakos Axiotis, Maxim Sviridenko",2020,ICML,http://proceedings.mlr.press/v119/axiotis20a.html
Model-Based Reinforcement Learning with Value-Targeted Regression.,"Alex Ayoub, Zeyu Jia, Csaba Szepesvári, Mengdi Wang, Lin Yang",2020,ICML,http://proceedings.mlr.press/v119/ayoub20a.html
Forecasting Sequential Data Using Consistent Koopman Autoencoders.,"Omri Azencot, N. Benjamin Erichson, Vanessa Lin, Michael W. Mahoney",2020,ICML,http://proceedings.mlr.press/v119/azencot20a.html
Constant Curvature Graph Convolutional Networks.,"Gregor Bachmann, Gary Bécigneul, Octavian Ganea",2020,ICML,http://proceedings.mlr.press/v119/bachmann20a.html
Scalable Nearest Neighbor Search for Optimal Transport.,"Arturs Backurs, Yihe Dong, Piotr Indyk, Ilya P. Razenshteyn, Tal Wagner",2020,ICML,http://proceedings.mlr.press/v119/backurs20a.html
Agent57: Outperforming the Atari Human Benchmark.,"Adrià Puigdomènech Badia, Bilal Piot, Steven Kapturowski, Pablo Sprechmann, Alex Vitvitskyi, Zhaohan Daniel Guo, Charles Blundell",2020,ICML,http://proceedings.mlr.press/v119/badia20a.html
Fiduciary Bandits.,"Gal Bahar, Omer Ben-Porat, Kevin Leyton-Brown, Moshe Tennenholtz",2020,ICML,http://proceedings.mlr.press/v119/bahar20a.html
Learning De-biased Representations with Biased Representations.,"Hyojin Bahng, Sanghyuk Chun, Sangdoo Yun, Jaegul Choo, Seong Joon Oh",2020,ICML,http://proceedings.mlr.press/v119/bahng20a.html
Deep k-NN for Noisy Labels.,"Dara Bahri, Heinrich Jiang, Maya R. Gupta",2020,ICML,http://proceedings.mlr.press/v119/bahri20a.html
Provable Self-Play Algorithms for Competitive Reinforcement Learning.,"Yu Bai, Chi Jin",2020,ICML,http://proceedings.mlr.press/v119/bai20a.html
Sparse Subspace Clustering with Entropy-Norm.,"Liang Bai, Jiye Liang",2020,ICML,http://proceedings.mlr.press/v119/bai20b.html
Coresets for Clustering in Graphs of Bounded Treewidth.,"Daniel N. Baker, Vladimir Braverman, Lingxiao Huang, Shaofeng H.-C. Jiang, Robert Krauthgamer, Xuan Wu",2020,ICML,http://proceedings.mlr.press/v119/baker20a.html
Refined bounds for algorithm configuration: The knife-edge of dual class approximability.,"Maria-Florina Balcan, Tuomas Sandholm, Ellen Vitercik",2020,ICML,http://proceedings.mlr.press/v119/balcan20a.html
Ready Policy One: World Building Through Active Learning.,"Philip J. Ball, Jack Parker-Holder, Aldo Pacchiano, Krzysztof Choromanski, Stephen J. Roberts",2020,ICML,http://proceedings.mlr.press/v119/ball20a.html
Stochastic Optimization for Regularized Wasserstein Estimators.,"Marin Ballu, Quentin Berthet, Francis R. Bach",2020,ICML,http://proceedings.mlr.press/v119/ballu20a.html
Dual Mirror Descent for Online Allocation Problems.,"Santiago R. Balseiro, Haihao Lu, Vahab S. Mirrokni",2020,ICML,http://proceedings.mlr.press/v119/balseiro20a.html
Inductive-bias-driven Reinforcement Learning For Efficient Schedules in Heterogeneous Clusters.,"Subho S. Banerjee, Saurabh Jha, Zbigniew Kalbarczyk, Ravishankar K. Iyer",2020,ICML,http://proceedings.mlr.press/v119/banerjee20a.html
UniLMv2: Pseudo-Masked Language Models for Unified Language Model Pre-Training.,"Hangbo Bao, Li Dong, Furu Wei, Wenhui Wang, Nan Yang, Xiaodong Liu, Yu Wang, Jianfeng Gao, Songhao Piao, Ming Zhou, Hsiao-Wuen Hon",2020,ICML,http://proceedings.mlr.press/v119/bao20a.html
Fast OSCAR and OWL Regression via Safe Screening Rules.,"Runxue Bao, Bin Gu, Heng Huang",2020,ICML,http://proceedings.mlr.press/v119/bao20b.html
Option Discovery in the Absence of Rewards with Manifold Analysis.,"Amitay Bar, Ronen Talmon, Ron Meir",2020,ICML,http://proceedings.mlr.press/v119/bar20a.html
Learning the piece-wise constant graph structure of a varying Ising model.,"Batiste Le Bars, Pierre Humbert, Argyris Kalogeratos, Nicolas Vayatis",2020,ICML,http://proceedings.mlr.press/v119/bars20a.html
Frequency Bias in Neural Networks for Input of Non-Uniform Density.,"Ronen Basri, Meirav Galun, Amnon Geifman, David W. Jacobs, Yoni Kasten, Shira Kritchman",2020,ICML,http://proceedings.mlr.press/v119/basri20a.html
Private Query Release Assisted by Public Data.,"Raef Bassily, Albert Cheu, Shay Moran, Aleksandar Nikolov, Jonathan R. Ullman, Zhiwei Steven Wu",2020,ICML,http://proceedings.mlr.press/v119/bassily20a.html
ECLIPSE: An Extreme-Scale Linear Program Solver for Web-Applications.,"Kinjal Basu, Amol Ghoting, Rahul Mazumder, Yao Pan",2020,ICML,http://proceedings.mlr.press/v119/basu20a.html
On Second-Order Group Influence Functions for Black-Box Predictions.,"Samyadeep Basu, Xuchen You, Soheil Feizi",2020,ICML,http://proceedings.mlr.press/v119/basu20b.html
Kernel interpolation with continuous volume sampling.,"Ayoub Belhadji, Rémi Bardenet, Pierre Chainais",2020,ICML,http://proceedings.mlr.press/v119/belhadji20a.html
Decoupled Greedy Learning of CNNs.,"Eugene Belilovsky, Michael Eickenberg, Edouard Oyallon",2020,ICML,http://proceedings.mlr.press/v119/belilovsky20a.html
The Cost-free Nature of Optimally Tuning Tikhonov Regularizers and Other Ordered Smoothers.,"Pierre Bellec, Dana Yang",2020,ICML,http://proceedings.mlr.press/v119/bellec20a.html
Defense Through Diverse Directions.,"Christopher M. Bender, Yang Li, Yifeng Shi, Michael K. Reiter, Junier Oliva",2020,ICML,http://proceedings.mlr.press/v119/bender20a.html
Interference and Generalization in Temporal Difference Learning.,"Emmanuel Bengio, Joelle Pineau, Doina Precup",2020,ICML,http://proceedings.mlr.press/v119/bengio20a.html
Preselection Bandits.,"Viktor Bengs, Eyke Hüllermeier",2020,ICML,http://proceedings.mlr.press/v119/bengs20a.html
Efficient Policy Learning from Surrogate-Loss Classification Reductions.,"Andrew Bennett, Nathan Kallus",2020,ICML,http://proceedings.mlr.press/v119/bennett20a.html
Training Neural Networks for and by Interpolation.,"Leonard Berrada, Andrew Zisserman, M. Pawan Kumar",2020,ICML,http://proceedings.mlr.press/v119/berrada20a.html
Implicit differentiation of Lasso-type models for hyperparameter optimization.,"Quentin Bertrand, Quentin Klopfenstein, Mathieu Blondel, Samuel Vaiter, Alexandre Gramfort, Joseph Salmon",2020,ICML,http://proceedings.mlr.press/v119/bertrand20a.html
Online Learning with Imperfect Hints.,"Aditya Bhaskara, Ashok Cutkosky, Ravi Kumar, Manish Purohit",2020,ICML,http://proceedings.mlr.press/v119/bhaskara20a.html
When are Non-Parametric Methods Robust?,"Robi Bhattacharjee, Kamalika Chaudhuri",2020,ICML,http://proceedings.mlr.press/v119/bhattacharjee20a.html
Learning and Sampling of Atomic Interventions from Observations.,"Arnab Bhattacharyya, Sutanu Gayen, Saravanan Kandasamy, Ashwin Maran, N. Variyam Vinodchandran",2020,ICML,http://proceedings.mlr.press/v119/bhattacharyya20a.html
Near-optimal sample complexity bounds for learning Latent k-polytopes and applications to Ad-Mixtures.,"Chiranjib Bhattacharyya, Ravindran Kannan",2020,ICML,http://proceedings.mlr.press/v119/bhattacharyya20b.html
Low-Rank Bottleneck in Multi-head Attention Models.,"Srinadh Bhojanapalli, Chulhee Yun, Ankit Singh Rawat, Sashank J. Reddi, Sanjiv Kumar",2020,ICML,http://proceedings.mlr.press/v119/bhojanapalli20a.html
Spectral Clustering with Graph Neural Networks for Graph Pooling.,"Filippo Maria Bianchi, Daniele Grattarola, Cesare Alippi",2020,ICML,http://proceedings.mlr.press/v119/bianchi20a.html
Time Series Deconfounder: Estimating Treatment Effects over Time in the Presence of Hidden Confounders.,"Ioana Bica, Ahmed M. Alaa, Mihaela van der Schaar",2020,ICML,http://proceedings.mlr.press/v119/bica20a.html
Adversarial Robustness for Code.,"Pavol Bielik, Martin T. Vechev",2020,ICML,http://proceedings.mlr.press/v119/bielik20a.html
The Boomerang Sampler.,"Joris Bierkens, Sebastiano Grazzi, Kengo Kamatani, Gareth Roberts",2020,ICML,http://proceedings.mlr.press/v119/bierkens20a.html
Tight Bounds on Minimax Regret under Logarithmic Loss via Self-Concordance.,"Blair L. Bilodeau, Dylan J. Foster, Daniel M. Roy",2020,ICML,http://proceedings.mlr.press/v119/bilodeau20a.html
My Fair Bandit: Distributed Learning of Max-Min Fairness with Multi-player Bandits.,"Ilai Bistritz, Tavor Z. Baharav, Amir Leshem, Nicholas Bambos",2020,ICML,http://proceedings.mlr.press/v119/bistritz20a.html
Provable guarantees for decision tree induction: the agnostic setting.,"Guy Blanc, Jane Lange, Li-Yang Tan",2020,ICML,http://proceedings.mlr.press/v119/blanc20a.html
Fast Differentiable Sorting and Ranking.,"Mathieu Blondel, Olivier Teboul, Quentin Berthet, Josip Djolonga",2020,ICML,http://proceedings.mlr.press/v119/blondel20a.html
Beyond Signal Propagation: Is Feature Diversity Necessary in Deep Neural Network Initialization?,"Yaniv Blumenfeld, Dar Gilboa, Daniel Soudry",2020,ICML,http://proceedings.mlr.press/v119/blumenfeld20a.html
Modulating Surrogates for Bayesian Optimization.,"Erik Bodin, Markus Kaiser, Ieva Kazlauskaite, Zhenwen Dai, Neill W. Campbell, Carl Henrik Ek",2020,ICML,http://proceedings.mlr.press/v119/bodin20a.html
Deep Coordination Graphs.,"Wendelin Boehmer, Vitaly Kurin, Shimon Whiteson",2020,ICML,http://proceedings.mlr.press/v119/boehmer20a.html
Lorentz Group Equivariant Neural Network for Particle Physics.,"Alexander Bogatskiy, Brandon M. Anderson, Jan T. Offermann, Marwah Roussi, David W. Miller, Risi Kondor",2020,ICML,http://proceedings.mlr.press/v119/bogatskiy20a.html
"Efficient Robustness Certificates for Discrete Data: Sparsity-Aware Randomized Smoothing for Graphs, Images and More.","Aleksandar Bojchevski, Johannes Klicpera, Stephan Günnemann",2020,ICML,http://proceedings.mlr.press/v119/bojchevski20a.html
Proper Network Interpretability Helps Adversarial Robustness in Classification.,"Akhilan Boopathy, Sijia Liu, Gaoyuan Zhang, Cynthia Liu, Pin-Yu Chen, Shiyu Chang, Luca Daniel",2020,ICML,http://proceedings.mlr.press/v119/boopathy20a.html
Spectrum Dependent Learning Curves in Kernel Regression and Wide Neural Networks.,"Blake Bordelon, Abdulkadir Canatar, Cengiz Pehlevan",2020,ICML,http://proceedings.mlr.press/v119/bordelon20a.html
"Small Data, Big Decisions: Model Selection in the Small-Data Regime.","Jörg Bornschein, Francesco Visin, Simon Osindero",2020,ICML,http://proceedings.mlr.press/v119/bornschein20a.html
Latent Variable Modelling with Hyperbolic Normalizing Flows.,"Avishek Joey Bose, Ariella Smofsky, Renjie Liao, Prakash Panangaden, William L. Hamilton",2020,ICML,http://proceedings.mlr.press/v119/bose20a.html
Tightening Exploration in Upper Confidence Reinforcement Learning.,"Hippolyte Bourel, Odalric Maillard, Mohammad Sadegh Talebi",2020,ICML,http://proceedings.mlr.press/v119/bourel20a.html
Preference Modeling with Context-Dependent Salient Features.,"Amanda Bower, Laura Balzano",2020,ICML,http://proceedings.mlr.press/v119/bower20a.html
Adversarial Filters of Dataset Biases.,"Ronan Le Bras, Swabha Swayamdipta, Chandra Bhagavatula, Rowan Zellers, Matthew E. Peters, Ashish Sabharwal, Yejin Choi",2020,ICML,http://proceedings.mlr.press/v119/bras20a.html
"Calibration, Entropy Rates, and Memory in Language Models.","Mark Braverman, Xinyi Chen, Sham M. Kakade, Karthik Narasimhan, Cyril Zhang, Yi Zhang",2020,ICML,http://proceedings.mlr.press/v119/braverman20a.html
"Schatten Norms in Matrix Streams: Hello Sparsity, Goodbye Dimension.","Vladimir Braverman, Robert Krauthgamer, Aditya Krishnan, Roi Sinoff",2020,ICML,http://proceedings.mlr.press/v119/braverman20b.html
All in the Exponential Family: Bregman Duality in Thermodynamic Variational Inference.,"Rob Brekelmans, Vaden Masrani, Frank Wood, Greg Ver Steeg, Aram Galstyan",2020,ICML,http://proceedings.mlr.press/v119/brekelmans20a.html
Estimating the Number and Effect Sizes of Non-null Hypotheses.,"Jennifer Brennan, Ramya Korlakai Vinayak, Kevin Jamieson",2020,ICML,http://proceedings.mlr.press/v119/brennan20a.html
The FAST Algorithm for Submodular Maximization.,"Adam Breuer, Eric Balkanski, Yaron Singer",2020,ICML,http://proceedings.mlr.press/v119/breuer20a.html
GNN-FiLM: Graph Neural Networks with Feature-wise Linear Modulation.,Marc Brockschmidt,2020,ICML,http://proceedings.mlr.press/v119/brockschmidt20a.html
TaskNorm: Rethinking Batch Normalization for Meta-Learning.,"John Bronskill, Jonathan Gordon, James Requeima, Sebastian Nowozin, Richard E. Turner",2020,ICML,http://proceedings.mlr.press/v119/bronskill20a.html
Safe Imitation Learning via Fast Bayesian Reward Inference from Preferences.,"Daniel S. Brown, Russell Coleman, Ravi Srinivasan, Scott Niekum",2020,ICML,http://proceedings.mlr.press/v119/brown20a.html
A Pairwise Fair and Community-preserving Approach to k-Center Clustering.,"Brian Brubach, Darshan Chakrabarti, John P. Dickerson, Samir Khuller, Aravind Srinivasan, Leonidas Tsepenekas",2020,ICML,http://proceedings.mlr.press/v119/brubach20a.html
Scalable Exact Inference in Multi-Output Gaussian Processes.,"Wessel P. Bruinsma, Eric Perim, William Tebbutt, J. Scott Hosking, Arno Solin, Richard E. Turner",2020,ICML,http://proceedings.mlr.press/v119/bruinsma20a.html
Online Pricing with Offline Data: Phase Transition and Inverse Square Law.,"Jinzhi Bu, David Simchi-Levi, Yunzong Xu",2020,ICML,http://proceedings.mlr.press/v119/bu20a.html
Empirical Study of the Benefits of Overparameterization in Learning Latent Variable Models.,"Rares-Darius Buhai, Yoni Halpern, Yoon Kim, Andrej Risteski, David A. Sontag",2020,ICML,http://proceedings.mlr.press/v119/buhai20a.html
DeBayes: a Bayesian Method for Debiasing Network Embeddings.,"Maarten Buyl, Tijl De Bie",2020,ICML,http://proceedings.mlr.press/v119/buyl20a.html
Structured Prediction with Partial Labelling through the Infimum Loss.,"Vivien Cabannes, Alessandro Rudi, Francis R. Bach",2020,ICML,http://proceedings.mlr.press/v119/cabannnes20a.html
Online Learned Continual Compression with Adaptive Quantization Modules.,"Lucas Caccia, Eugene Belilovsky, Massimo Caccia, Joelle Pineau",2020,ICML,http://proceedings.mlr.press/v119/caccia20a.html
Boosted Histogram Transform for Regression.,"Yuchao Cai, Hanyuan Hang, Hanfang Yang, Zhouchen Lin",2020,ICML,http://proceedings.mlr.press/v119/cai20a.html
On Validation and Planning of An Optimal Decision Rule with Application in Healthcare Studies.,"Hengrui Cai, Wenbin Lu, Rui Song",2020,ICML,http://proceedings.mlr.press/v119/cai20b.html
"Uncertainty quantification for nonconvex tensor completion: Confidence intervals, heteroscedasticity and optimality.","Changxiao Cai, H. Vincent Poor, Yuxin Chen",2020,ICML,http://proceedings.mlr.press/v119/cai20c.html
Provably Efficient Exploration in Policy Optimization.,"Qi Cai, Zhuoran Yang, Chi Jin, Zhaoran Wang",2020,ICML,http://proceedings.mlr.press/v119/cai20d.html
Near-linear time Gaussian process optimization with adaptive batching and resparsification.,"Daniele Calandriello, Luigi Carratino, Alessandro Lazaric, Michal Valko, Lorenzo Rosasco",2020,ICML,http://proceedings.mlr.press/v119/calandriello20a.html
Poisson Learning: Graph Based Semi-Supervised Learning At Very Low Label Rates.,"Jeff Calder, Brendan Cook, Matthew Thorpe, Dejan Slepcev",2020,ICML,http://proceedings.mlr.press/v119/calder20a.html
"Explore, Discover and Learn: Unsupervised Discovery of State-Covering Skills.","Victor Campos, Alexander Trott, Caiming Xiong, Richard Socher, Xavier Giró-i-Nieto, Jordi Torres",2020,ICML,http://proceedings.mlr.press/v119/campos20a.html
Logarithmic Regret for Learning Linear Quadratic Regulators Efficiently.,"Asaf B. Cassel, Alon Cohen, Tomer Koren",2020,ICML,http://proceedings.mlr.press/v119/cassel20a.html
Fully Parallel Hyperparameter Search: Reshaped Space-Filling.,"Marie-Liesse Cauwet, Camille Couprie, Julien Dehos, Pauline Luc, Jérémy Rapin, Morgane Rivière, Fabien Teytaud, Olivier Teytaud, Nicolas Usunier",2020,ICML,http://proceedings.mlr.press/v119/cauwet20a.html
Data preprocessing to mitigate bias: A maximum entropy based approach.,"L. Elisa Celis, Vijay Keswani, Nisheeth K. Vishnoi",2020,ICML,http://proceedings.mlr.press/v119/celis20a.html
Meta-learning with Stochastic Linear Bandits.,"Leonardo Cella, Alessandro Lazaric, Massimiliano Pontil",2020,ICML,http://proceedings.mlr.press/v119/cella20a.html
Description Based Text Classification with Reinforcement Learning.,"Duo Chai, Wei Wu, Qinghong Han, Fei Wu, Jiwei Li",2020,ICML,http://proceedings.mlr.press/v119/chai20a.html
Concise Explanations of Neural Networks using Adversarial Training.,"Prasad Chalasani, Jiefeng Chen, Amrita Roy Chowdhury, Xi Wu, Somesh Jha",2020,ICML,http://proceedings.mlr.press/v119/chalasani20a.html
Unlabelled Data Improves Bayesian Uncertainty Calibration under Covariate Shift.,"Alex J. Chan, Ahmed M. Alaa, Zhaozhi Qian, Mihaela van der Schaar",2020,ICML,http://proceedings.mlr.press/v119/chan20a.html
Imputer: Sequence Modelling via Imputation and Dynamic Programming.,"William Chan, Chitwan Saharia, Geoffrey E. Hinton, Mohammad Norouzi, Navdeep Jaitly",2020,ICML,http://proceedings.mlr.press/v119/chan20b.html
Optimizing for the Future in Non-Stationary MDPs.,"Yash Chandak, Georgios Theocharous, Shiv Shankar, Martha White, Sridhar Mahadevan, Philip S. Thomas",2020,ICML,http://proceedings.mlr.press/v119/chandak20a.html
Learning to Simulate and Design for Structural Engineering.,"Kai-Hung Chang, Chin-Yi Cheng",2020,ICML,http://proceedings.mlr.press/v119/chang20a.html
Decentralized Reinforcement Learning: Global Decision-Making via Local Economic Transactions.,"Michael Chang, Sidhant Kaushik, S. Matthew Weinberg, Tom Griffiths, Sergey Levine",2020,ICML,http://proceedings.mlr.press/v119/chang20b.html
Invariant Rationalization.,"Shiyu Chang, Yang Zhang, Mo Yu, Tommi S. Jaakkola",2020,ICML,http://proceedings.mlr.press/v119/chang20c.html
Circuit-Based Intrinsic Methods to Detect Overfitting.,"Satrajit Chatterjee, Alan Mishchenko",2020,ICML,http://proceedings.mlr.press/v119/chatterjee20a.html
Better depth-width trade-offs for neural networks through the lens of dynamical systems.,"Vaggos Chatziafratis, Sai Ganesh Nagarajan, Ioannis Panageas",2020,ICML,http://proceedings.mlr.press/v119/chatziafratis20a.html
Explainable and Discourse Topic-aware Neural Language Understanding.,"Yatin Chaudhary, Hinrich Schütze, Pankaj Gupta",2020,ICML,http://proceedings.mlr.press/v119/chaudhary20a.html
Uncertainty-Aware Lookahead Factor Models for Quantitative Investing.,"Lakshay Chauhan, John Alberg, Zachary C. Lipton",2020,ICML,http://proceedings.mlr.press/v119/chauhan20a.html
Deep Reasoning Networks for Unsupervised Pattern De-mixing with Constraint Reasoning.,"Di Chen, Yiwei Bai, Wenting Zhao, Sebastian Ament, John M. Gregoire, Carla P. Gomes",2020,ICML,http://proceedings.mlr.press/v119/chen20a.html
Self-PU: Self Boosted and Calibrated Positive-Unlabeled Training.,"Xuxi Chen, Wuyang Chen, Tianlong Chen, Ye Yuan, Chen Gong, Kewei Chen, Zhangyang Wang",2020,ICML,http://proceedings.mlr.press/v119/chen20b.html
Learning To Stop While Learning To Predict.,"Xinshi Chen, Hanjun Dai, Yu Li, Xin Gao, Le Song",2020,ICML,http://proceedings.mlr.press/v119/chen20c.html
Combinatorial Pure Exploration for Dueling Bandit.,"Wei Chen, Yihan Du, Longbo Huang, Haoyu Zhao",2020,ICML,http://proceedings.mlr.press/v119/chen20d.html
Graph Optimal Transport for Cross-Domain Alignment.,"Liqun Chen, Zhe Gan, Yu Cheng, Linjie Li, Lawrence Carin, Jingjing Liu",2020,ICML,http://proceedings.mlr.press/v119/chen20e.html
